,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year,month,Unnamed: 21,친환경
255,수소,소계,계,32.0,0.0,1.0,3.0,72.0,1.0,98.0,2.0,4.0,0.0,0.0,27.0,1.0,2.0,0.0,58.0,0.0,301.0,2018,05,,친환경
272,기타연료,소계,계,5430.0,14603.0,2928.0,10804.0,2698.0,2544.0,4401.0,464.0,18952.0,2528.0,4337.0,6249.0,3698.0,7802.0,7981.0,6621.0,622.0,102662.0,2018,05,,비친환경
289,총계,소계,계,3119696.0,1349658.0,1165890.0,1537591.0,654938.0,663517.0,554810.0,138814.0,5481236.0,754887.0,799311.0,1074514.0,902164.0,1011138.0,1405917.0,1681260.0,521427.0,22816768.0,2018,05,,비친환경
17,휘발유,소계,계,1595974.0,641940.0,554625.0,690786.0,288244.0,321098.0,277243.0,69354.0,2606870.0,318623.0,344576.0,461191.0,362686.0,375716.0,601735.0,784518.0,215015.0,10510194.0,2018,06,,비친환경
34,경유,소계,계,1143719.0,547583.0,466072.0,672209.0,266745.0,257455.0,225115.0,55931.0,2341766.0,361020.0,371157.0,509043.0,431125.0,511606.0,649669.0,726343.0,228270.0,9764828.0,2018,06,,비친환경
51,엘피지,소계,계,292854.0,124350.0,120273.0,141527.0,86826.0,71847.0,39539.0,11005.0,423576.0,63195.0,70130.0,87378.0,95344.0,106308.0,130754.0,142729.0,63673.0,2071308.0,2018,06,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,06,,비친환경
85,전기,소계,계,6177.0,1196.0,3739.0,938.0,861.0,613.0,517.0,238.0,4084.0,769.0,621.0,725.0,600.0,1549.0,1404.0,1517.0,11287.0,36835.0,2018,06,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,06,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,06,,비친환경
136,CNG,소계,계,9679.0,3139.0,2676.0,2824.0,1484.0,1719.0,828.0,65.0,9219.0,891.0,727.0,601.0,1095.0,1086.0,1210.0,1824.0,14.0,39081.0,2018,06,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018,06,,비친환경
170,하이브리드(휘발유+전기),소계,계,64437.0,19286.0,17834.0,23801.0,8985.0,8739.0,6986.0,3220.0,92917.0,9311.0,9249.0,12307.0,9818.0,9953.0,14502.0,19093.0,7367.0,337805.0,2018,06,,친환경
187,하이브리드(경유+전기),소계,계,26.0,16.0,18.0,8.0,2.0,4.0,0.0,3.0,25.0,0.0,3.0,2.0,2.0,1.0,2.0,15.0,0.0,127.0,2018,06,,친환경
204,하이브리드(LPG+전기),소계,계,2056.0,908.0,1022.0,872.0,730.0,580.0,565.0,187.0,4114.0,757.0,716.0,796.0,851.0,929.0,1107.0,1141.0,325.0,17656.0,2018,06,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,20.0,0.0,42.0,27.0,69.0,0.0,3.0,0.0,9.0,0.0,12.0,1.0,0.0,283.0,2018,06,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,06,,친환경
255,수소,소계,계,32.0,0.0,2.0,3.0,85.0,1.0,128.0,2.0,5.0,0.0,0.0,27.0,1.0,2.0,0.0,70.0,0.0,358.0,2018,06,,친환경
272,기타연료,소계,계,5463.0,14644.0,3000.0,10893.0,2742.0,2581.0,4399.0,480.0,19157.0,2586.0,4397.0,6309.0,3734.0,7836.0,8004.0,6696.0,633.0,103554.0,2018,06,,비친환경
289,총계,소계,계,3120469.0,1353065.0,1169274.0,1543895.0,656724.0,664639.0,555362.0,140512.0,5501802.0,757152.0,801579.0,1078379.0,905265.0,1014986.0,1408400.0,1683948.0,526584.0,22882035.0,2018,06,,비친환경
17,휘발유,소계,계,1594638.0,642955.0,554418.0,693996.0,288618.0,321250.0,277228.0,69952.0,2613597.0,319377.0,345372.0,462305.0,363253.0,376906.0,602187.0,785512.0,216957.0,10528521.0,2018,07,,비친환경
34,경유,소계,계,1145341.0,549637.0,467674.0,674221.0,267726.0,258436.0,225709.0,56503.0,2352931.0,362794.0,372587.0,511019.0,433056.0,513759.0,651816.0,727984.0,231192.0,9802385.0,2018,07,,비친환경
51,엘피지,소계,계,291694.0,124383.0,119877.0,140607.0,86820.0,71726.0,39427.0,11016.0,422206.0,63009.0,69948.0,87293.0,95205.0,106116.0,130486.0,142418.0,64010.0,2066241.0,2018,07,,비친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,07,,비친환경
85,전기,소계,계,6942.0,1194.0,4143.0,1059.0,961.0,750.0,548.0,241.0,4559.0,823.0,660.0,765.0,640.0,1587.0,1457.0,1640.0,12144.0,40113.0,2018,07,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,07,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,07,,비친환경
136,CNG,소계,계,9673.0,3141.0,2676.0,2824.0,1472.0,1717.0,830.0,87.0,9219.0,885.0,730.0,607.0,1094.0,1095.0,1214.0,1809.0,13.0,39086.0,2018,07,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018,07,,비친환경
170,하이브리드(휘발유+전기),소계,계,65590.0,19654.0,18152.0,24375.0,9174.0,8894.0,7090.0,3317.0,95024.0,9546.0,9456.0,12562.0,10024.0,10114.0,14807.0,19382.0,7559.0,344720.0,2018,07,,친환경
187,하이브리드(경유+전기),소계,계,27.0,15.0,17.0,8.0,2.0,4.0,0.0,3.0,25.0,0.0,4.0,2.0,2.0,1.0,1.0,16.0,0.0,127.0,2018,07,,친환경
204,하이브리드(LPG+전기),소계,계,2014.0,891.0,1030.0,890.0,727.0,580.0,561.0,191.0,4155.0,746.0,716.0,803.0,843.0,933.0,1106.0,1118.0,323.0,17627.0,2018,07,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,20.0,0.0,42.0,27.0,69.0,0.0,3.0,0.0,9.0,0.0,12.0,1.0,0.0,283.0,2018,07,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,07,,친환경
255,수소,소계,계,33.0,0.0,2.0,3.0,87.0,1.0,144.0,2.0,5.0,0.0,0.0,27.0,1.0,2.0,0.0,77.0,0.0,384.0,2018,07,,친환경
272,기타연료,소계,계,5493.0,14680.0,3040.0,10947.0,2774.0,2617.0,4404.0,505.0,19442.0,2624.0,4448.0,6390.0,3773.0,7877.0,8087.0,6760.0,640.0,104501.0,2018,07,,비친환경
289,총계,소계,계,3121497.0,1356553.0,1171042.0,1548964.0,658381.0,665977.0,555983.0,141844.0,5521232.0,759804.0,803924.0,1081773.0,907900.0,1018390.0,1411174.0,1686718.0,532838.0,22943994.0,2018,07,,비친환경
